 #             q                 psi(q)
          0.0008903241        1.8791683582
          0.0046873146        1.8803057299
          0.0115033829        1.8811850672
          0.0213154895        1.8798349216
          0.0340908735        1.8735018180
          0.0497908600        1.8588320759
          0.0683741946        1.8322038072
          0.0898007680        1.7902295676
          0.1140356841        1.7303839433
          0.1410535753        1.6516226926
          0.1708430913        1.5547968974
          0.2034115207        1.4426849943
          0.2387895516        1.3195879068
          0.2770362229        1.1906033952
          0.3182441709        1.0608142684
          0.3625453321        0.9346244212
          0.4101173192        0.8153754614
          0.4611907577        0.7052508210
          0.5160579467        0.6053896839
          0.5750833095        0.5161088172
          0.6387162255        0.4371484376
          0.7075070081        0.3678913324
          0.7821270256        0.3075339951
          0.8633942859        0.2552076947
          0.9523062594        0.2100567655
          1.0500823554        0.1712841719
          1.1582193864        0.1381736857
          1.2785646926        0.1100959025
          1.4134135614        0.0865030180
          1.5656405148        0.0669153703
          1.7388784956        0.0509016515
          1.9377668853        0.0380548277
          2.1683001735        0.0279677006
          2.4383266765        0.0202157157
          2.7582757561        0.0143581197
          3.1422413712        0.0099662064
          3.6096362762        0.0066723110
          4.1877879212        0.0042104831
          4.9161423931        0.0024172286
          5.8533241967        0.0011943146
          7.0895048046        0.0004619798
          8.7691849102        0.0001175702
         11.1357622291        0.0000141059
         14.6254008022        0.0000004409
         20.0840073662        0.0000000018
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
 #             q                 psi(q)
          0.0008903241        1.8993162705
          0.0046873146        1.9004372584
          0.0115033829        1.9012270769
          0.0213154895        1.8996136579
          0.0340908735        1.8927065032
          0.0497908600        1.8769949381
          0.0683741946        1.8487097010
          0.0898007680        1.8043676743
          0.1140356841        1.7414449350
          0.1410535753        1.6590268131
          0.1708430913        1.5582188045
          0.2034115207        1.4421331194
          0.2387895516        1.3154090753
          0.2770362229        1.1834128703
          0.3182441709        1.0513797469
          0.3625453321        0.9237437735
          0.4101173192        0.8037798178
          0.4611907577        0.6935467838
          0.5160579467        0.5940385142
          0.5750833095        0.5054320402
          0.6387162255        0.4273479479
          0.7075070081        0.3590746000
          0.7821270256        0.2997385182
          0.8633942859        0.2484218403
          0.9523062594        0.2042361271
          1.0500823554        0.1663636631
          1.1582193864        0.1340760594
          1.2785646926        0.1067375140
          1.4134135614        0.0837976088
          1.5656405148        0.0647765628
          1.7388784956        0.0492447501
          1.9377668853        0.0367984331
          2.1683001735        0.0270355200
          2.4383266765        0.0195387207
          2.7582757561        0.0138767979
          3.1422413712        0.0096321572
          3.6096362762        0.0064482230
          4.1877879212        0.0040681438
          4.9161423931        0.0023344965
          5.8533241967        0.0011526387
          7.0895048046        0.0004453751
          8.7691849102        0.0001131385
         11.1357622291        0.0000135269
         14.6254008022        0.0000004195
         20.0840073662        0.0000000017
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( -4.6 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -4.6
 #             q                 psi(q)
          0.0008903241        1.9205329351
          0.0046873146        1.9216357325
          0.0115033829        1.9223268973
          0.0213154895        1.9204239620
          0.0340908735        1.9128864240
          0.0497908600        1.8960327138
          0.0683741946        1.8659353593
          0.0898007680        1.8190130284
          0.1140356841        1.7527536606
          0.1410535753        1.6663965459
          0.1708430913        1.5613354241
          0.2034115207        1.4410501214
          0.2387895516        1.3105421308
          0.2770362229        1.1754540442
          0.3182441709        1.0411663832
          0.3625453321        0.9121266224
          0.4101173192        0.7915231933
          0.4611907577        0.6812728751
          0.5160579467        0.5822110916
          0.5750833095        0.4943668809
          0.6387162255        0.4172369061
          0.7075070081        0.3500135825
          0.7821270256        0.2917536207
          0.8633942859        0.2414910659
          0.9523062594        0.1983060959
          1.0500823554        0.1613617517
          1.1582193864        0.1299188108
          1.2785646926        0.1033362277
          1.4134135614        0.0810619427
          1.5656405148        0.0626168623
          1.7388784956        0.0475737144
          1.9377668853        0.0355326270
          2.1683001735        0.0260971101
          2.4383266765        0.0188575738
          2.7582757561        0.0133926717
          3.1422413712        0.0092962136
          3.6096362762        0.0062229015
          4.1877879212        0.0039250685
          4.9161423931        0.0022513864
          5.8533241967        0.0011108119
          7.0895048046        0.0004287346
          8.7691849102        0.0001087079
         11.1357622291        0.0000129505
         14.6254008022        0.0000003983
         20.0840073662        0.0000000016
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -4.199999999999999 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -4.199999999999999
 #             q                 psi(q)
          0.0008903241        1.9429253833
          0.0046873146        1.9440079154
          0.0115033829        1.9445899368
          0.0213154895        1.9423673628
          0.0340908735        1.9341348491
          0.0497908600        1.9160241894
          0.0683741946        1.8839377727
          0.0898007680        1.8341940420
          0.1140356841        1.7643058953
          0.1410535753        1.6736955901
          0.1708430913        1.5640840896
          0.2034115207        1.4393564934
          0.2387895516        1.3049014255
          0.2770362229        1.1666443428
          0.3182441709        1.0301008288
          0.3625453321        0.8997117177
          0.4101173192        0.7785567443
          0.4611907577        0.6683914238
          0.5160579467        0.5698790276
          0.5750833095        0.4828922671
          0.6387162255        0.4067998134
          0.7075070081        0.3406969374
          0.7821270256        0.2835710240
          0.8633942859        0.2344093395
          0.9523062594        0.1922622860
          1.0500823554        0.1562752594
          1.1582193864        0.1256996485
          1.2785646926        0.0998904032
          1.4134135614        0.0782948542
          1.5656405148        0.0604354465
          1.7388784956        0.0458879661
          1.9377668853        0.0342570013
          2.1683001735        0.0251521793
          2.4383266765        0.0181720639
          2.7582757561        0.0129055876
          3.1422413712        0.0089582667
          3.6096362762        0.0059962731
          4.1877879212        0.0037812121
          4.9161423931        0.0021678739
          5.8533241967        0.0010688236
          7.0895048046        0.0004120550
          8.7691849102        0.0001042777
         11.1357622291        0.0000123767
         14.6254008022        0.0000003774
         20.0840073662        0.0000000015
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -3.8000000000000002 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -3.8000000000000002
 #             q                 psi(q)
          0.0008903241        1.9666168862
          0.0046873146        1.9676767554
          0.0115033829        1.9681375140
          0.0213154895        1.9655605150
          0.0340908735        1.9565585149
          0.0497908600        1.9370587588
          0.0683741946        1.9027803552
          0.0898007680        1.8499403165
          0.1140356841        1.7760930521
          0.1410535753        1.6808784347
          0.1708430913        1.5663896955
          0.2034115207        1.4369590913
          0.2387895516        1.2983882917
          0.2770362229        1.1568899679
          0.3182441709        1.0181007711
          0.3625453321        0.8864310313
          0.4101173192        0.7648266844
          0.4611907577        0.6548612270
          0.5160579467        0.5570114272
          0.5750833095        0.4709853434
          0.6387162255        0.3960198911
          0.7075070081        0.3311123940
          0.7821270256        0.2751817685
          0.8633942859        0.2271701260
          0.9523062594        0.1860999380
          1.0500823554        0.1511007303
          1.1582193864        0.1214160752
          1.2785646926        0.0963982478
          1.4134135614        0.0754950664
          1.5656405148        0.0582314119
          1.7388784956        0.0441868677
          1.9377668853        0.0329711047
          2.1683001735        0.0242004047
          2.4383266765        0.0174819569
          2.7582757561        0.0124153756
          3.1422413712        0.0086181956
          3.6096362762        0.0057682565
          4.1877879212        0.0036365246
          4.9161423931        0.0020839323
          5.8533241967        0.0010266618
          7.0895048046        0.0003953323
          8.7691849102        0.0000998474
         11.1357622291        0.0000118056
         14.6254008022        0.0000003568
         20.0840073662        0.0000000014
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( -3.4000000000000003 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -3.4000000000000003
 #             q                 psi(q)
          0.0008903241        1.9917503378
          0.0046873146        1.9927847558
          0.0115033829        1.9931101554
          0.0213154895        1.9901382905
          0.0340908735        1.9802802852
          0.0497908600        1.9592383507
          0.0683741946        1.9225338343
          0.0898007680        1.8662822964
          0.1140356841        1.7881006295
          0.1410535753        1.6878878966
          0.1708430913        1.5681617995
          0.2034115207        1.4337482851
          0.2387895516        1.2908885838
          0.2770362229        1.1460839726
          0.3182441709        1.0050735251
          0.3625453321        0.8722087717
          0.4101173192        0.7502736075
          0.4611907577        0.6406370826
          0.5160579467        0.5435745623
          0.5750833095        0.4586212381
          0.6387162255        0.3848789112
          0.7075070081        0.3212466271
          0.7821270256        0.2665761196
          0.8633942859        0.2197663154
          0.9523062594        0.1798138642
          1.0500823554        0.1458343894
          1.1582193864        0.1170653566
          1.2785646926        0.0928577939
          1.4134135614        0.0726611738
          1.5656405148        0.0560037613
          1.7388784956        0.0424697140
          1.9377668853        0.0316744364
          2.1683001735        0.0232414271
          2.4383266765        0.0167869919
          2.7582757561        0.0119218460
          3.1422413712        0.0082758655
          3.6096362762        0.0055387613
          4.1877879212        0.0034909505
          4.9161423931        0.0019995313
          5.8533241967        0.0009843131
          7.0895048046        0.0003785625
          8.7691849102        0.0000954161
         11.1357622291        0.0000112370
         14.6254008022        0.0000003365
         20.0840073662        0.0000000013
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( -3.0 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -3.0
 #             q                 psi(q)
          0.0008903241        2.0184925561
          0.0046873146        2.0194982563
          0.0115033829        2.0196717808
          0.0213154895        2.0162576899
          0.0340908735        2.0054424905
          0.0497908600        1.9826798021
          0.0683741946        1.9432772626
          0.0898007680        1.8832506842
          0.1140356841        1.8003060982
          0.1410535753        1.6946518949
          0.1708430913        1.5692909175
          0.2034115207        1.4295943881
          0.2387895516        1.2822696504
          0.2770362229        1.1341039258
          0.3182441709        0.9909143472
          0.3625453321        0.8569602108
          0.4101173192        0.7348316834
          0.4611907577        0.6256692369
          0.5160579467        0.5295314851
          0.5750833095        0.4457727862
          0.6387162255        0.3733569934
          0.7075070081        0.3110851061
          0.7821270256        0.2577434534
          0.8633942859        0.2121901366
          0.9523062594        0.1733983835
          1.0500823554        0.1404720929
          1.1582193864        0.1126444838
          1.2785646926        0.0892668703
          1.4134135614        0.0697916214
          1.5656405148        0.0537513880
          1.7388784956        0.0407357197
          1.9377668853        0.0303664377
          2.1683001735        0.0222748448
          2.4383266765        0.0160868771
          2.7582757561        0.0114247867
          3.1422413712        0.0079311259
          3.6096362762        0.0053076860
          4.1877879212        0.0033444274
          4.9161423931        0.0019146375
          5.8533241967        0.0009417627
          7.0895048046        0.0003617406
          8.7691849102        0.0000909831
         11.1357622291        0.0000106711
         14.6254008022        0.0000003165
         20.0840073662        0.0000000012
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -2.5999999999999996 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -2.5999999999999996
 #             q                 psi(q)
          0.0008903241        2.0470398116
          0.0046873146        2.0480129364
          0.0115033829        2.0480150772
          0.0213154895        2.0441028473
          0.0340908735        2.0322111640
          0.0497908600        2.0075178010
          0.0683741946        1.9650991570
          0.0898007680        1.9008754896
          0.1140356841        1.8126759994
          0.1410535753        1.7010791872
          0.1708430913        1.5696437424
          0.2034115207        1.4243431443
          0.2387895516        1.2723765772
          0.2770362229        1.1208090586
          0.3182441709        0.9755043980
          0.3625453321        0.8405902796
          0.4101173192        0.7184276995
          0.4611907577        0.6099027236
          0.5160579467        0.5148415641
          0.5750833095        0.4324101958
          0.6387162255        0.3614323603
          0.7075070081        0.3006119120
          0.7821270256        0.2486721185
          0.8633942859        0.2044330521
          0.9523062594        0.1668472406
          1.0500823554        0.1350092673
          1.1582193864        0.1081501270
          1.2785646926        0.0856230680
          1.4134135614        0.0668846788
          1.5656405148        0.0514730573
          1.7388784956        0.0389840063
          1.9377668853        0.0290464815
          2.1683001735        0.0213002061
          2.4383266765        0.0153812837
          2.7582757561        0.0109239585
          3.1422413712        0.0075838069
          3.6096362762        0.0050749168
          4.1877879212        0.0031968854
          4.9161423931        0.0018292129
          5.8533241967        0.0008989937
          7.0895048046        0.0003448612
          8.7691849102        0.0000865475
         11.1357622291        0.0000101077
         14.6254008022        0.0000002968
         20.0840073662        0.0000000011
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -2.2 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -2.2
 #             q                 psi(q)
          0.0008903241       -2.0776250271
          0.0046873146       -2.0785609799
          0.0115033829       -2.0783684851
          0.0213154895       -2.0738915131
          0.0340908735       -2.0607814744
          0.0497908600       -2.0339085659
          0.0683741946       -1.9880987533
          0.0898007680       -1.9191845201
          0.1140356841       -1.8251619171
          0.1410535753       -1.7070536705
          0.1708430913       -1.5690569160
          0.2034115207       -1.4178099750
          0.2387895516       -1.2610274874
          0.2770362229       -1.1060367515
          0.3182441709       -0.9587082645
          0.3625453321       -0.8229918717
          0.4101173192       -0.7009799050
          0.4611907577       -0.5932765685
          0.5160579467       -0.4994599236
          0.5750833095       -0.4185006437
          0.6387162255       -0.3490810388
          0.7075070081       -0.2898095135
          0.7821270256       -0.2393492658
          0.8633942859       -0.1964856282
          0.9523062594       -0.1601535074
          1.0500823554       -0.1294408340
          1.1582193864       -0.1035785790
          1.2785646926       -0.0819236974
          1.4134135614       -0.0639384087
          1.5656405148       -0.0491673824
          1.7388784956       -0.0372135842
          1.9377668853       -0.0277138596
          2.1683001735       -0.0203169998
          2.4383266765       -0.0146698394
          2.7582757561       -0.0104190906
          3.1422413712       -0.0072337164
          3.6096362762       -0.0048403247
          4.1877879212       -0.0030482451
          4.9161423931       -0.0017432146
          5.8533241967       -0.0008559869
          7.0895048046       -0.0003279183
          8.7691849102       -0.0000821082
         11.1357622291       -0.0000095469
         14.6254008022       -0.0000002774
         20.0840073662       -0.0000000010
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -1.8000000000000004 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -1.8000000000000004
 #             q                 psi(q)
          0.0008903241       -2.1105272846
          0.0046873146       -2.1114205344
          0.0115033829       -2.1110054116
          0.0213154895       -2.1058835648
          0.0340908735       -2.0913847815
          0.0497908600       -2.0620344841
          0.0683741946       -2.0123873363
          0.0898007680       -1.9382010055
          0.1140356841       -1.8376948275
          0.1410535753       -1.7124266765
          0.1708430913       -1.5673288265
          0.2034115207       -1.4097725713
          0.2387895516       -1.2480076097
          0.2770362229       -1.0895981723
          0.3182441709       -0.9403709199
          0.3625453321       -0.8040437751
          0.4101173192       -0.6823966068
          0.4611907577       -0.5757228187
          0.5160579467       -0.4833367571
          0.5750833095       -0.4040077775
          0.6387162255       -0.3362764908
          0.7075070081       -0.2786584885
          0.7821270256       -0.2297606376
          0.8633942859       -0.1883373736
          0.9523062594       -0.1533094598
          1.0500823554       -0.1237611155
          1.1582193864       -0.0989256834
          1.2785646926       -0.0781657344
          1.4134135614       -0.0609506264
